Pop_Rank,City,State,Pop_2020,Pop_2010,Pop_2000,Pop_1990,Pop_Growth,UE_2015,UE_2016,UE_2017,UE_2018,UE_2019,Industry_Sector,Percent_Workforce,Percent_vs_National,Quality of Life,Education,Safety,Purchasing Power,Health Care,Cost of Living,Property Price to Income Ratio,Avg Rent 1BR,Avg Mthly Net Income,Rent to Income Ratio,Rent to Income Ratio over 25%,Avg Adj Annual Per Capita Personal Income,lat,lng
47,Tulsa,Oklahoma,413066,391906,393049,367302,0.59,4,4.5,4.5,3.6,3.4,Support Activities for Mining,0.8,257.3,196.96,44.88,49.05,140.34,68.62,61.44,2.26,880,4373,20%,No,52477,36.1284,-95.9042
22,Oklahoma City,Oklahoma,681054,579999,506132,444719,2.15,3.7,4,3.9,3.2,3.1,Support Activities for Mining,1.7,656.9,196.15,51.43,50.69,127.95,75.78,64.94,2.88,830,4072,20%,No,48860,35.4676,-97.5136
25,Portland,Oregon,652503,583776,529121,437319,2.02,4.7,4.1,3.6,3.5,3.2,Computer and Electronic Product Manufacturing,2.5,264.8,177,67.96,48.52,108.09,73.18,76.83,4.55,1490,4993,30%,Yes,59921,45.5372,-122.65
6,Philadelphia,Pennsylvania,1603797,1526006,1517550,1585577,0.06,7.1,6.7,6.2,5.5,5.6,Portfolio Management,0.9,225,151.12,59.48,37.62,115.61,69.38,79.19,3.96,1410,5550,25%,Yes,66596,40.0077,-75.1339
21,Nashville,Tennessee,689447,601222,545524,510784,1.51,4.4,3.6,2.8,2.7,2.5,"General Freight Trucking, Long-Distance",1.5,149.1,170.5,56.12,53.95,111.46,63.95,73.62,3.65,1640,5057,32%,Yes,60680,36.1715,-86.7843
28,Memphis,Tennessee,633104,646889,650100,610337,0.18,7.1,5.8,4.8,4.6,4.5,"General Freight Trucking, Long-Distance",2.3,273.1,155.77,44.75,25.77,118.23,43.18,63.48,1.19,900,3999,23%,No,47985,35.1046,-89.9773
23,El Paso,Texas,678815,649121,563662,515342,1.39,4.7,4.7,4.4,4.1,3.7,Business Support Services,2.9,355.6,179.47,33.57,67.28,120.95,64.31,55.75,2.89,810,2709,30%,Yes,32510,31.8479,-106.4309
11,Austin,Texas,961855,790390,656562,465622,3.69,3,3.1,3,2.8,2.5,Custom Computer Programming Services,2.7,294.2,198.91,72.94,62.94,158.21,71.04,66.5,3.53,1570,5165,30%,Yes,61977,30.3004,-97.7522
4,Houston,Texas,2304580,2100263,1953631,1630553,1.74,4.3,5,4.9,4.3,3.7,Support Activities for Mining,1.2,450.6,177.62,49.82,36.23,172.98,71.77,63.94,2.04,1210,4908,25%,No,58890,29.7863,-95.3889
9,Dallas,Texas,1304379,1197816,1188580,1006877,1.3,4.1,4,3.9,3.8,3.4,Scheduled Air Transportation,1.3,199.3,192.67,52.76,49.71,170.66,66.2,67.85,2.12,1410,4894,29%,Yes,58725,32.7936,-96.7662
13,Fort Worth,Texas,918915,741206,534694,447619,3.66,4.1,4.2,3.9,3.6,3.4,Scheduled Air Transportation,1.3,199.3,164.47,52.76,56.91,109.43,63.27,72.09,3.87,1220,4894,25%,No,58725,32.7811,-97.3473
50,Arlington,Texas,394266,365438,332969,261721,2.07,4,3.9,3.8,3.6,3.4,Scheduled Air Transportation,1.3,199.3,192.67,52.76,49.71,170.66,66.2,67.85,2.12,1030,4894,21%,No,58725,32.6998,-97.125
7,San Antonio,Texas,1434625,1327407,1144646,935933,2.16,3.7,3.7,3.5,3.3,3.1,Heavy and Civil Engineering Construction,3,306.2,181.72,45.69,51.17,137.67,70.59,62.59,2.1,1060,4058,26%,Yes,48694,29.4658,-98.5253
43,Virginia Beach,Virginia,459470,437994,425257,393069,0.78,4.3,4,3.5,2.9,2.7,Transportation Equipment Manufacturing,4.8,326.3,193.09,59.43,53.5,130.94,73.86,67.75,4.15,1300,4334,30%,Yes,52011,36.7335,-76.0435
18,Seattle,Washington,737015,608660,563374,516259,1.8,3.8,3.5,3.2,2.9,2.5,Software Publishers,4,596.6,189.58,73.76,49.54,145.39,74.01,88.52,4.52,1820,6506,28%,Yes,78073,47.6211,-122.3244
31,Milwaukee,Wisconsin,577222,594833,596974,628088,-0.42,6.6,5.6,4.5,4,4.5,"Direct Life, Health, and Medical Insurance Carriers",2.5,282.1,164.04,56.12,33.06,109.19,66.8,71.56,2.51,950,4871,20%,No,58457,43.0642,-87.9673
