RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-03-31,2022-05-31,2023-02-28
395214,840,"Wauchula, FL",Msa,FL,2022-02-28,4.0,8.0,18.7
753884,841,"Hailey, ID",Msa,ID,2022-02-28,3.4,7.1,21.2
394643,842,"Great Bend, KS",Msa,KS,2022-02-28,0.3,2.4,9.8
753926,843,"Weatherford, OK",Msa,OK,2022-02-28,2.6,5.6,13.1
395211,844,"Watertown, SD",Msa,SD,2022-02-28,1.5,5.4,15.5
395154,846,"Thomaston, GA",Msa,GA,2022-02-28,3.9,8.3,20.8
394892,847,"Mountain Home, ID",Msa,ID,2022-02-28,4.0,8.4,23.7
394322,848,"Altus, OK",Msa,OK,2022-02-28,2.7,5.9,15.7
395181,849,"Uvalde, TX",Msa,TX,2022-02-28,3.1,6.6,16.9
394791,850,"Lexington, NE",Msa,NE,2022-02-28,0.8,3.8,13.6
394401,851,"Boone, IA",Msa,IA,2022-02-28,0.9,3.8,12.4
395159,852,"Toccoa, GA",Msa,GA,2022-02-28,3.9,8.4,20.6
394470,853,"Clarksdale, MS",Msa,MS,2022-02-28,,,0.6
395138,854,"Summerville, GA",Msa,GA,2022-02-28,3.8,8.0,18.8
753909,855,"Ottawa, KS",Msa,KS,2022-02-28,0.5,3.4,13.7
394912,856,"New Ulm, MN",Msa,MN,2022-02-28,0.4,3.1,12.5
394830,857,"Marshall, MN",Msa,MN,2022-02-28,0.2,2.6,11.9
394758,858,"La Grande, OR",Msa,OR,2022-02-28,0.4,3.1,14.5
394649,859,"Greensburg, IN",Msa,IN,2022-02-28,1.1,4.5,15.3
394854,860,"Mexico, MO",Msa,MO,2022-02-28,1.2,4.9,15.2
394869,861,"Moberly, MO",Msa,MO,2022-02-28,1.5,6.1,17.4
753923,862,"The Dalles, OR",Msa,OR,2022-02-28,0.5,3.0,14.5
394529,863,"Deming, NM",Msa,NM,2022-02-28,3.1,7.1,18.3
394584,864,"Fallon, NV",Msa,NV,2022-02-28,3.8,7.8,21.4
394615,865,"Fredericksburg, TX",Msa,TX,2022-02-28,3.6,7.3,18.7
394818,866,"Magnolia, AR",Msa,AR,2022-02-28,3.2,6.9,16.5
394436,867,"Campbellsville, KY",Msa,KY,2022-02-28,2.5,5.4,14.7
394494,868,"Connersville, IN",Msa,IN,2022-02-28,1.5,5.4,17.1
394533,869,"Dickinson, ND",Msa,ND,2022-02-28,0.7,3.0,8.0
395110,870,"Spearfish, SD",Msa,SD,2022-02-28,3.2,6.9,17.5
394674,871,"Heber, UT",Msa,UT,2022-02-28,0.9,3.8,17.8
753921,872,"Steamboat Springs, CO",Msa,CO,2022-02-28,0.0,3.2,22.7
394498,873,"Cordele, GA",Msa,GA,2022-02-28,3.5,7.4,17.2
394831,874,"Marshall, MO",Msa,MO,2022-02-28,1.2,5.0,16.9
394837,874,"Maryville, MO",Msa,MO,2022-02-28,1.1,4.6,14.3
394337,876,"Arkadelphia, AR",Msa,AR,2022-02-28,1.9,5.7,14.3
394793,877,"Liberal, KS",Msa,KS,2022-02-28,0.5,2.7,8.6
394784,878,"Levelland, TX",Msa,TX,2022-02-28,3.2,6.9,16.1
395198,879,"Wahpeton, ND",Msa,ND,2022-02-28,0.7,3.6,11.8
394868,880,"Mitchell, SD",Msa,SD,2022-02-28,2.8,6.5,17.5
395130,881,"Sterling, CO",Msa,CO,2022-02-28,0.7,3.4,14.0
394959,882,"Pampa, TX",Msa,TX,2022-02-28,2.8,5.8,13.9
395241,883,"Yankton, SD",Msa,SD,2022-02-28,2.8,6.6,16.4
