GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""01045""","Dale, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3467,3781,3720,3913,4643,4940,5150,5684,6134,6460,7067,7738,9069,9614,10196,11325,12213,12654,13402,13590,14613,16300,16925,17847,18029,17937,18528,18936,19202,20544,21115,21480,22299,23049,24026,26000,28477,30583,31277,31482,31893,32920,33884,33364,33672,33907,34729,34668,35361,36497,37831,40111
" ""01047""","Dallas, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2557,2913,3137,3419,3807,4107,4445,4980,4778,5155,5896,6415,7360,7803,8017,8457,9013,9599,10019,10718,11575,12494,13223,13957,14404,15702,16348,16643,17557,18207,18528,19533,20231,20860,21583,23271,24307,25893,26381,27135,26866,28020,29267,29472,30015,30483,32382,33112,33845,34915,37033,41195
" ""01049""","DeKalb, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2199,2241,2386,2763,3222,3339,3908,4318,4737,5539,6168,6684,7439,7689,8028,9105,9688,9992,10803,11735,12766,13423,13969,15032,15737,16132,16745,17595,18497,19659,20073,20619,21106,21301,22210,23826,23769,23937,25500,26337,25924,26895,25904,27010,28130,28974,30660,29942,31080,32196,33427,35100
" ""01051""","Elmore, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2607,2793,3169,3552,3990,4310,4513,5279,5647,6480,7184,7889,8509,9004,9730,10729,11598,12335,12692,13452,14271,15051,15768,16614,17186,18223,19330,20252,21472,22507,23133,24032,24019,25070,26384,27872,29037,30541,31914,33498,33552,34370,35559,36604,36283,37134,39070,40371,41874,42956,44561,47270
" ""01053""","Escambia, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2414,2577,2877,3134,3465,3879,4031,4619,5073,5675,6253,6828,7609,8005,8760,9330,10007,10145,10951,11184,12177,12759,13428,13909,14493,15120,15793,16525,17141,17612,18029,19027,19267,18970,19843,21192,22846,23774,24740,25443,25401,26863,27622,28886,29490,29579,30189,30612,32014,32445,34338,37137
" ""01055""","Etowah, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2969,3010,3283,3652,4035,4409,4818,5204,5884,6595,7311,7971,8875,9053,9602,10539,11056,11582,12334,13201,14079,14608,14945,15993,16708,17549,18137,18866,19605,20318,20832,21735,22301,23017,23835,25155,26074,26854,28472,29311,29195,30356,30851,31290,31486,32712,34134,34671,35586,36583,37700,39852
" ""01057""","Fayette, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2291,2632,2887,2970,3485,3606,4224,4910,5273,5987,6531,6967,7633,7976,8830,9519,9810,10106,10490,11246,12450,12915,13298,14412,15349,15808,16828,17339,18106,18290,18716,19016,19554,19185,20066,21394,22073,22872,24451,25046,25230,26262,27176,28632,29267,30247,32134,32388,33362,34231,35856,38001
" ""01059""","Franklin, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2530,2632,2856,3209,3779,3906,4553,5094,5598,6647,7126,8119,9192,9258,9838,10159,10605,11069,11311,11886,12580,13337,14136,15460,16019,16760,17879,18681,18789,19019,20094,20170,21273,21277,22005,23898,24902,25022,26891,27430,26799,27957,27927,28408,28764,29872,31649,31107,32407,33951,34831,37362
" ""01061""","Geneva, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2791,2887,3171,3365,4136,4260,4629,5174,5260,6239,6920,6527,8047,8018,8473,9685,9848,10370,10840,11942,13669,13987,14588,15808,16535,17159,17930,18383,18686,19840,20521,20174,21911,22248,23074,23823,25242,25163,26703,27693,28191,28968,29391,29395,30710,31188,32807,32916,33893,34708,36455,38358
" ""01063""","Greene, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1242,1819,2115,2356,2657,2605,2893,3469,3511,4379,5121,4885,5669,6180,6460,6962,7422,8111,8692,9193,10017,10813,11388,11864,12543,13030,14003,14374,15553,15747,16831,17797,18558,19031,20358,22039,23621,25481,26216,26471,26909,26623,27409,27409,30249,28453,30275,30638,30978,30762,32534,35992
