StateID,SizeRank,StateName,RegionType,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
46,26,Oregon,State,238736,238110,237849,237480,236512,235071,233509,231687,229389,227251,225534,223910,222217,220161,217744,215404,213501,212318,211500,210770,210223,209398,208518,207507,206838,206471,206795,207474,208421,209278,210092,211328,212615,214377,215598,217190,218882,221486,223983,226612,229170,231424,233588,235137,236906,238322,240564,242780,244978,246342,247327,248288,248987,250155,251238,252669,254066,255688,257219,258484,259714,261372,263429,265227,267154,269146,271432,274007,276490,279074,281518,284111,286822,288935,291145,293707,296914,299965,303028,305594,308250,310601,312781,315175,317452,320139,322385,324779,326621,328205,329584,331235,333001,334731,336609,338404,340139,342196,344501,346602,348353,350065,351948,353405,354706,355549,356804,357964,359238,359988,360175,360382,360772,361608,362360,363380,364434,365923,367061,368280,369499,370945,372868
45,27,Oklahoma,State,105365,105502,105739,105982,106154,106093,105812,105479,105121,104817,104363,104050,103778,103620,103333,102953,102529,102236,102179,102223,102380,102386,102364,102241,102140,102133,102177,102346,102608,102843,103003,103091,103072,103137,103330,103664,103963,104121,104297,104539,104706,104920,105145,105470,105822,106040,106251,106397,106682,106957,107214,107375,107646,107881,108168,108403,108701,109246,109734,110164,110430,110790,111220,111613,111899,112196,112461,112720,112896,112837,112817,112878,113210,113598,113964,114298,114627,114987,115362,115712,116044,116434,116802,117183,117383,117624,117844,118269,118676,119055,119324,119628,120037,120502,120921,121325,121685,121885,122080,122281,122614,122812,123031,123262,123557,123906,124219,124587,124854,125375,125819,126296,126642,127151,127723,128302,128818,129292,129851,130401,131116,131739,132465
11,28,Connecticut,State,268514,267479,267289,267644,268038,268056,267538,266605,265422,263644,261574,259564,258458,257520,255963,254016,252084,250941,249745,248286,246625,244981,243842,242556,241182,239781,238709,237559,236424,234789,233741,233187,232995,233264,233618,234523,235397,235856,236472,237513,239026,240475,241426,242419,243461,244224,244741,244725,244519,244493,244101,243691,242839,242511,242213,241648,240923,240497,240386,240229,240011,239992,240415,240794,241223,241284,241419,241626,242045,241931,241301,240982,241132,241523,241552,241222,241021,240913,240992,240930,240750,241069,241866,242761,243658,244194,244766,245515,246334,247087,247914,248813,249814,250620,251601,252133,252455,252480,252791,253122,253446,254013,254496,255116,255359,255655,255600,256000,255829,256254,256369,256787,256907,256955,257010,256972,257213,257445,257794,257997,258730,259231,259855
19,29,Iowa,State,122343,122435,122660,122828,122904,122809,122599,122335,121996,121616,121234,120844,120561,120234,119873,119495,119150,118929,118804,118800,118851,118887,118955,119028,118973,118901,118888,119011,119204,119397,119653,119877,120156,120544,120952,121348,121779,122224,122479,122580,122685,122945,123188,123448,123672,123873,124028,124261,124500,124825,125263,125805,126260,126565,126794,126976,127204,127419,127652,127851,128165,128455,128802,129127,129547,129965,130413,130886,131351,131818,132306,132737,133083,133441,133820,134185,134553,134969,135439,135879,136258,136657,137074,137567,138168,138760,139355,139902,140414,140934,141397,141885,142367,142829,143342,143879,144255,144580,144894,145431,146004,146376,146746,147101,147607,148073,148486,148883,149349,149959,150500,150923,151212,151688,152166,152631,152976,153338,153689,154005,154307,154500,154727
34,30,Mississippi,State,108842,108717,108563,108377,108153,107984,107639,107296,106920,106625,106342,106194,106103,105966,105787,105560,105410,105219,105210,105173,105200,105096,105017,104852,104679,104512,104338,104275,104241,104270,104271,104253,104126,104010,103922,103864,103808,103745,103793,103730,103633,103483,103324,103206,103171,103178,103160,103185,103207,103317,103412,103623,103855,104070,104342,104670,105055,105501,105986,106488,106987,107433,107802,108139,108458,108837,109166,109440,109647,109849,110007,110139,110272,110440,110678,110895,111138,111416,111721,112089,112420,112685,112938,113240,113587,113874,114163,114499,114848,115119,115369,115633,115976,116335,116724,117034,117370,117728,118077,118372,118706,119115,119574,119976,120424,120843,121250,121628,121971,122411,122883,123424,123869,124282,124666,125076,125416,125781,126139,126545,126946,127259,127539
6,31,Arkansas,State,104715,104781,104827,104830,104848,104758,104525,104288,103921,103585,103122,102721,102317,102028,101791,101535,101169,100905,100811,100821,100885,100974,101048,101074,101068,101100,101242,101502,101877,102189,102407,102572,102796,102993,103254,103553,103895,104140,104228,104256,104287,104385,104549,104720,104847,104949,104985,104975,104998,105138,105400,105653,105882,106025,106110,106215,106392,106651,106928,107222,107482,107684,107818,107990,108118,108349,108623,108968,109279,109549,109857,110150,110457,110775,111133,111491,111897,112305,112655,112938,113235,113588,113952,114321,114712,115079,115501,115854,116281,116667,117217,117753,118238,118641,119075,119569,120064,120588,121062,121568,121988,122379,122725,123028,123401,123772,124279,124807,125328,125733,126070,126429,126816,127277,127696,128166,128606,129082,129435,129743,130053,130447,130907
23,32,Kansas,State,122613,122448,122466,122434,122432,122267,121965,121506,121030,120687,120387,120078,119749,119475,118966,118366,117927,117593,117380,117173,117056,116812,116558,116320,116290,116370,116529,116677,116711,116855,116972,117143,117162,117240,117389,117586,117664,117632,117848,118133,118475,118557,118651,118723,118925,119160,119389,119651,119873,120125,120098,120122,120138,120364,120677,121049,121443,121758,122092,122387,122764,123097,123568,124052,124586,125132,125581,126000,126311,126702,127042,127381,127696,128133,128553,128939,129387,129862,130393,130880,131379,131852,132303,132790,133306,133874,134507,135184,135677,136055,136469,137009,137656,138314,139063,139820,140542,141154,141678,142192,142794,143395,143853,144260,144721,145242,145902,146473,147050,147500,147952,148408,148846,149398,150026,150637,151155,151625,151950,152336,152735,153279,153853
55,33,Utah,State,217406,216760,216091,215564,214857,213796,212181,210184,208717,207274,205634,203446,201706,200059,198942,197462,196302,195137,194566,194490,193888,193282,192714,193004,193229,193708,194005,194709,195750,196846,197817,198695,200213,202052,204085,206206,208260,210373,212401,214892,217053,219654,222140,224542,226574,228140,229451,230187,230988,231703,232580,232698,232889,232900,232887,232978,232946,233585,234502,235542,236643,237690,239103,240789,242339,243738,245320,247331,249503,251325,252692,254130,255738,257402,258688,259887,261579,263488,265520,266960,268831,270664,273013,275230,277304,279248,281476,283972,286444,288959,291240,293692,295535,297495,299432,301846,303870,306406,308827,311817,314532,316896,319351,321516,324000,326714,329400,331904,334067,336024,337581,338762,339808,341272,342729,344447,346129,347575,348925,350166,351898,353534,355484
42,34,Nevada,State,160723,159786,159139,157951,156848,156623,156120,155475,153996,152530,151595,150642,148848,146760,144738,143130,142041,140235,139025,137156,136382,135611,134969,134454,134321,134249,134103,134376,134848,136080,137083,139047,140887,142840,144902,147317,150267,153564,157631,161397,165500,169670,174274,178377,182280,185666,188827,190924,192839,194575,196087,197241,197710,198037,198834,199486,199665,200742,201964,204455,205932,207550,208693,210111,212044,213477,214167,215237,216887,218372,219282,220696,222675,224526,225535,227075,228405,230082,231411,232762,234030,234572,235672,235258,236019,236809,239954,242315,244768,247250,250644,253570,257130,261176,265592,269719,272611,275891,278004,280684,283149,286647,290172,294034,296630,298155,298621,300053,301445,302803,302886,303258,303502,303131,302356,301622,301610,302387,303665,304731,306155,307402,309730
41,35,New Mexico,State,182049,181621,181594,181087,180668,179479,178374,177200,176210,174607,173084,171826,171470,171151,170855,170067,168949,167825,167205,166755,166431,166184,165976,165806,165391,165024,164440,164187,164216,164432,164605,164545,164899,165010,165319,164884,164537,164263,164699,165265,165974,166760,167371,168304,168469,169037,169139,170233,171132,171892,171945,171786,171568,171129,170770,170225,170328,170444,171158,171376,171411,171271,171259,171642,171892,172357,172823,173563,173950,173946,173428,173244,173618,174323,175278,175840,176502,176984,177526,177669,177989,178774,179915,180912,181319,181581,181509,181833,182232,182912,183639,184424,185115,185389,185775,185989,186451,187178,188318,189382,190156,190673,190921,191422,192040,193416,194615,195963,197128,198043,198697,199221,199967,200979,202205,203326,204434,205120,205888,206704,207713,208867,210141
